FIP;County_Name;pop1970;pop1971;pop1972;pop1973;pop1974;pop1975;pop1976;pop1977;pop1978;pop1979;pop1980;pop1981;pop1982;pop1983;pop1984;pop1985;pop1986;pop1987;pop1988;pop1989;pop1990;pop1991;pop1992;pop1993;pop1994;pop1995;pop1996;pop1997;pop1998;pop1999;pop2000;pop2001;pop2002;pop2003;pop2004;pop2005;pop2006;pop2007;pop2008;pop2009;pop2010;pop2011;pop2012;pop2013;pop2014;pop2015;pop2016
48449;Titus County;16702;17500;17700;18200;18700;19200;19600;20100;20500;21000;21442;21925;22606;23280;23213;23384;23703;23517;23835;23783;24057;24260;24557;24388;24386;24661;24746;25090;25423;25343;28112;27923;28064;28457;28807;28009;28574;29129;29637;30206;32401;32434;32631;32590;32487;32623;32623
48451;Tom Green County;71047;73000;72500;74800;75800;77600;78800;79400;80700;82900;84784;87227;90883;94543;96152;96368;97247;97494;98596;99676;98257;97923;99107;99661;100776;101077;101789;102285;102685;102300;104043;103855;104041;104666;104810;104961;105912;106517;107445;108378;110676;111837;113493;114963;116881;118105;118105
48453;Travis County;295516;310300;332200;349300;358900;369700;386100;393400;390600;414400;419573;430442;449814;473881;499415;530511;547418;552135;557219;565405;579743;595609;612738;630909;647304;665302;679461;691965;709182;727022;820927;847941;852965;862463;878877;901185;937423;970477;998561;1026158;1030431;1062041;1096661;1121968;1150996;1176558;1176558
48455;Trinity County;7628;7900;8000;8200;8400;8300;8600;8700;8700;9100;9450;9681;10214;10480;11005;11181;11497;11489;11510;11518;11441;11445;11513;11828;12164;12232;12331;12459;12611;12713;13819;13834;13963;14019;14055;14122;14051;14021;13934;13897;14710;14654;14319;14409;14241;14402;14402
48457;Tyler County;12417;12600;13000;13800;13700;13800;14200;14800;15300;15800;16223;16377;16531;16852;17372;17421;17318;17163;16877;16645;16654;16918;17859;18137;18698;20001;19948;20209;20373;20495;20869;20540;20559;20397;20477;20218;20166;20294;20467;20556;21760;21672;21450;21450;21389;21347;21347
48459;Upshur County;20976;22500;23500;22900;23900;24400;24800;25800;26800;27900;28595;29622;31213;32230;32239;31819;31896;31363;31488;31234;31400;32036;32396;33045;33432;34256;34751;35476;35821;36541;35364;35637;36536;36899;37090;37392;37328;37515;37882;38057;39379;39760;39945;39808;40366;40603;40603
48461;Upton County;4697;4700;4500;4400;4400;4600;4700;4600;4500;4600;4619;4748;5387;5469;5394;5487;5434;5036;4872;4733;4379;4238;4117;3994;3997;3931;3779;3802;3767;3552;3378;3211;3232;3137;3082;3011;3047;2976;3067;3130;3343;3286;3259;3365;3465;3651;3651
48463;Uvalde County;17348;17700;18300;19100;19400;20100;20700;21100;21700;22000;22441;22652;23096;23717;24014;24056;23847;23499;23747;23478;23324;23442;23974;23890;24553;24791;25128;25480;25448;26002;25924;26005;26423;26391;26388;26586;26561;26548;26611;26811;26447;26584;26775;26944;27214;27245;27245
48465;Val Verde County;27471;28600;29600;30500;31300;32200;33200;33600;33900;35300;35910;37237;38388;39674;39303;39365;39694;39846;39626;39520;38568;39525;40052;40479;41401;42015;42576;42868;43637;44188;45023;45110;45480;46298;46927;47033;47241;47521;47705;48165;49011;49000;48939;49056;48916;48988;48988
48467;Van Zandt County;22155;24500;26300;27000;28000;28100;28500;29300;29900;30900;31426;31786;32776;34092;35451;36307;37230;37495;37971;37877;37992;38613;38960;39659;40607;41395;42552;43054;43961;44905;48347;48945;49947;50218;51255;51395;51974;51866;52130;52005;52623;52592;52303;52398;52839;53547;53547
48469;Victoria County;53766;54600;55000;56600;57500;59200;60600;61800;64000;66700;68807;71454;74178;75036;75484;75875;76560;75248;74294;73565;74563;75585;76923;78013;79153;79616;80340;80649;81672;82087;84011;84681;84867;85031;85228;85053;85258;86155;86774;87790;86860;87468;89291;90138;91217;92382;92382
48471;Walker County;27680;29800;33500;35600;37000;35600;36000;36600;38300;40200;41789;43053;46011;47650;49043;49833;50746;51321;51697;51211;50875;51767;52509;53025;53421;54028;54108;54408;54802;54988;61745;62220;61656;62762;63446;64330;63953;63686;63554;64119;68213;68316;68497;69341;69798;70699;70699
48473;Waller County;14285;14900;15200;15800;16100;16500;16900;17200;18000;17600;19798;21024;21913;23275;23370;23635;23389;23321;23362;23271;23426;23085;23923;24621;25234;25716;26394;26736;27248;28070;32842;33208;33960;34735;34721;34505;34929;35827;35970;36530;43455;44023;44337;45420;46798;48656;48656
48475;Ward County;13019;13000;12500;12700;12300;12600;12700;12600;12800;13100;13976;14744;16211;16279;15997;15994;15692;14718;14008;13587;12986;12813;12516;12218;12110;12034;11919;11755;11795;11498;10819;10465;10351;10209;10148;10159;10198;10145;10454;10528;10604;10686;10865;11238;11613;11721;11721
48477;Washington County;18842;18900;19300;19900;20200;20100;20600;20600;21000;21700;21998;23015;24240;24853;25480;25948;26164;26429;26477;26198;26135;26087;26585;27136;27665;28053;28400;28767;29119;29091;30420;30469;30735;30909;31187;31491;31893;32071;32412;32893;33726;33962;33880;34160;34413;34765;34765
48479;Webb County;72859;77600;81000;83100;77300;83000;88500;91500;93800;96800;99258;105077;111106;115419;116566;118164;122011;124528;126575;129943;134517;140492;147823;155747;162834;169715;174365;180370;186798;193180;194523;199914;205096;210229;215775;220968;225985;230848;235937;241438;251337;255639;260015;263861;267018;269721;269721
48481;Wharton County;36729;37100;37600;36900;36300;37000;37300;38200;38600;39500;40242;40557;41247;41428;41617;41561;41130;40297;40348;40326;39832;39688;39928;39911;39932;39892;39897;40005;40120;40285;41228;41007;40937;41005;40954;40923;41009;40801;40863;41000;41312;41248;41151;41239;41197;41486;41486
48483;Wheeler County;6434;6400;6300;6300;6300;6400;6400;6500;6600;6900;7137;7308;7999;8254;7795;7343;7040;6847;6602;6154;5798;5668;5564;5485;5432;5420;5316;5340;5286;5320;5237;5102;4971;4750;4709;4669;4722;4761;4775;4888;5396;5453;5589;5715;5678;5657;5657
48485;Wichita County;120563;121700;119700;119500;121200;121300;124200;123100;121600;121300;121082;123144;125166;125917;125806;126136;126614;124467;123301;122885;122202;120966;120327;122034;123747;126582;129067;128689;128497;128237;131591;130191;130128;130564;130756;129475;129302;128228;127701;127616;131809;130859;131787;132480;132955;131705;131705
48487;Wilbarger County;15355;15600;16300;15400;15500;15900;15600;15700;15700;16000;15931;16193;16493;16790;17006;16966;16928;16302;15883;15321;15076;14819;14642;14502;14474;14350;14271;14214;14076;14035;14638;14362;14273;14084;13887;13918;13907;13747;13512;13541;13502;13426;13254;13137;12944;13027;13027
48489;Willacy County;15570;16100;16200;16300;16400;17200;17400;17300;17300;17500;17495;17889;18146;18506;18460;18373;18474;18291;18227;17895;17690;17928;18246;18746;18955;19155;19319;19505;19599;19650;20047;19818;19823;19857;20030;20316;20378;20347;20382;20395;22201;22119;22120;21953;21917;21903;21903
48491;Williamson County;37305;39600;42500;46900;48100;50300;53100;58100;64900;70900;76521;81837;87159;92624;99662;110657;119712;126560;129602;135715;140623;146654;153405;162237;172718;183375;197812;210292;223665;240892;254962;276610;289810;302458;316123;331669;351456;373234;395146;410686;426488;442466;456469;471082;489428;508514;508514
48493;Wilson County;13041;13300;13700;14200;14400;14600;14700;15000;15300;15800;16756;17021;17591;18021;18770;19158;19860;20639;21350;22057;22823;23328;23822;24729;25954;27514;28812;30196;31304;32504;32706;33259;33974;34999;36104;36906;38002;39156;40350;40749;43075;43705;44450;45429;46440;47520;47520
48495;Winkler County;9640;9400;9300;9000;8800;9300;9400;9600;9600;9700;9944;10516;11654;11455;11099;10849;10369;9283;9022;8769;8578;8588;8437;8160;8106;7926;7857;7881;7971;7752;7077;7017;6899;6640;6609;6425;6448;6537;6734;6772;7080;7139;7336;7601;7798;8005;8005
48497;Wise County;19687;20300;20700;21900;22400;22800;23300;23800;24800;25800;26575;27219;28373;29405;30395;31745;33544;34205;34431;34543;34753;35316;35681;36058;37143;38947;40307;42442;44326;46709;49407;51009;52500;53819;54663;55800;56806;57569;58484;59415;59108;59969;60430;61048;61813;62953;62953
48499;Wood County;18589;20100;20700;20900;21300;21800;22000;23000;23300;23900;24697;24984;25610;26863;27515;27631;28364;28747;29114;29159;29410;29417;29858;30691;31678;32503;33430;33974;34317;34443;36877;37472;37916;39316;40107;40523;41834;42270;42757;43136;42007;42157;42511;42553;42985;43356;43356
48501;Yoakum County;7344;7400;7600;7500;7700;7800;7900;7700;7900;8100;8299;8385;8510;8979;9191;9521;9597;9188;9052;8911;8756;8694;8790;8603;8430;8211;8178;8000;7969;7809;7277;7281;7177;7171;7272;7288;7264;7427;7590;7698;7845;7986;8038;8168;8326;8546;8546
48503;Young County;15400;15800;15600;15100;15500;15900;16100;16800;17300;17900;19083;19592;20546;21046;20938;20689;20425;19704;19014;18575;17991;17830;17636;17618;17580;17662;17473;17588;17555;17551;17907;17650;17601;17748;17703;17507;17860;17724;17621;17792;18543;18356;18299;18378;18340;18270;18270
48505;Zapata County;4352;4500;4600;4700;4800;5000;5400;5700;6000;6400;6628;7098;7690;7961;8164;8366;8480;8610;8969;9130;9326;9515;9813;10232;10561;10819;11042;11167;11446;11436;12205;12382;12636;12708;12856;13181;13216;13546;13827;14036;14075;14210;14250;14373;14333;14374;14374
48507;Zavala County;11370;11800;11700;11500;11000;11600;11700;11800;11700;11600;11666;11851;12197;12474;12332;12122;12355;12491;12221;12098;12171;12254;12247;12196;12207;12247;12117;11811;11887;11889;11599;11563;11586;11480;11481;11533;11613;11640;11729;11585;11711;11822;11943;12128;12170;12235;12235
