XCoord;YCoord
-98307,702;-348773,633
-98114,679;-348730,744
-97921,487;-348688,622
-97728,130;-348647,267
-97534,610;-348606,680
-97340,930;-348566,861
-97147,094;-348527,812
-96953,104;-348489,533
-96758,963;-348452,024
-96564,676;-348415,286
-96370,244;-348379,320
-96175,671;-348344,126
-95980,959;-348309,705
-95786,113;-348276,057
-95591,134;-348243,183
-95396,027;-348211,083
-95200,793;-348179,759
-95005,437;-348149,209
-94809,961;-348119,435
-94614,368;-348090,438
-94418,662;-348062,217
-94222,845;-348034,774
-94026,921;-348008,108
-93830,893;-347982,220
-93634,763;-347957,111
-93438,535;-347932,780
-93242,212;-347909,229
-93045,797;-347886,457
-92849,294;-347864,466
-92652,704;-347843,254
-92456,032;-347822,823
-92259,280;-347803,174
-92062,452;-347784,305
-91865,551;-347766,218
-91668,579;-347748,913
-91471,540;-347732,390
-91274,437;-347716,650
-91077,273;-347701,692
-90880,051;-347687,517
-90682,775;-347674,125
-90485,447;-347661,516
-90288,070;-347649,691
-89583,812;-347608,687
-88648,104;-347554,118
-85982,423;-347398,104
-85783,097;-347386,849
-85583,727;-347376,389
-85384,318;-347366,725
-85184,871;-347357,857
-84985,390;-347349,785
-84785,879;-347342,509
-84586,341;-347336,030
-84386,778;-347330,346
-84187,194;-347325,460
-83987,592;-347321,369
-83787,975;-347318,075
-83588,347;-347315,578
-83388,711;-347313,878
-83189,069;-347312,974
-82989,425;-347312,867
-82789,783;-347313,556
-82590,144;-347315,043
-82390,514;-347317,326
-82190,894;-347320,405
-81991,288;-347324,282
-81791,698;-347328,954
-81592,130;-347334,424
-81392,584;-347340,689
-81193,065;-347347,751
-80993,576;-347355,609
-80794,120;-347364,263
-80594,700;-347373,713
-80395,320;-347383,959
-80195,981;-347395,000
-79996,689;-347406,837
-79797,445;-347419,469
-79598,253;-347432,896
-79399,117;-347447,118
-79200,038;-347462,134
-79001,022;-347477,944
-78802,070;-347494,549
-78603,185;-347511,948
-78404,372;-347530,140
-78205,633;-347549,125
-78006,972;-347568,903
-77808,390;-347589,474
-77609,893;-347610,838
-77411,482;-347632,993
-77213,162;-347655,940
